timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
12/19/2014,1594009.781,39457671307,7875.269822,95404.45782,0,269295,288706,4660.7368,137,317.8429871,39173000,4241890806,311.1789856
12/20/2014,1536574.03,39457671307,7877.690566,86899.3111,0,246263,307640,3811.0301,134,329.9559937,23823100,4330801581,317.618988
12/21/2014,1410218.97,39457671307,8164.952275,78963.46012,0,223812,279480,3689.6656,132,320.8429871,20856700,4496945577,329.5429993
12/22/2014,1409991.268,39457671307,8164.286945,96508.49119,0,292934,291480,4557.0915,164,331.8859863,15207600,4373820008,321.0679932
12/23/2014,1566938.453,39457671307,8261.823199,99468.10826,0,301628,285122,4660.9431,150,334.571991,22315100,4525705359,332.0169983
12/24/2014,1164698.536,39457671307,8387.020183,82347.44153,0,224351,225776,3713.2987,153,322.5339966,16574200,4563595537,334.3850098
12/25/2014,941399.4684,39457671307,8307.292268,67917.32833,0,185044,201597,3087.6436,158,319.0079956,15092300,4400637769,322.2860107
12/26/2014,1099686.632,39457671307,8088.625691,76196.72588,0,207276,228153,6213.0903,152,327.9240112,9883640,4353789283,319.1520081
12/27/2014,1163873.5,39457671307,8147.651306,76812.39197,0,218992,248745,5570.9883,152,315.8630066,16410500,4476703675,327.5830078
12/28/2014,1120081.964,39457671307,8054.857023,75714.32817,0,221325,327500,3947.2987,169,317.2390137,15185200,4313267197,316.1600037
12/29/2014,1136665.293,39457671307,7978.496398,83467.78654,0,237089,225212,4591.4571,164,312.6700134,11676600,4333389568,317.7009888
12/30/2014,1204859.871,39740132580,7963.14665,85047.96768,0,233333,249304,4401.4227,155,310.7369995,12302500,4272268163,312.7189941
12/31/2014,1078990,40640955017,7915.63723,77413.33318,0,205391,213315,3592.8862,152,320.1929932,12528300,4247060095,310.9140015
1/1/2015,749934.8606,40640955017,7895.135468,59344.37949,0,154392,163566,2538.5918,165,314.2489929,13942900,4377510595,320.4349976
1/2/2015,1060549.309,40640955017,7945.958721,79284.24958,0,212939,258978,3746.9691,165,315.0320129,8036550,4297535768,314.07901
1/3/2015,1180594.765,40640955017,7923.766328,82229.86439,0,230948,291213,3728.652,162,281.0820007,7860650,4309551126,314.8460083
1/4/2015,1128972.93,40640955017,7668.339944,85694.50143,0,237067,281033,6637.4609,172,264.1950073,33054400,3846269872,281.1459961
1/5/2015,1443842.949,40640955017,6911.14809,95583.64169,0,283869,290881,4430.1111,156,274.473999,55629100,3616320975,265.0840149
1/6/2015,1256663.342,40640955017,6838.668512,87821.80821,0,250918,247755,3502.6127,158,286.1889954,43962800,3758098008,274.6109924
1/7/2015,1371222.143,40640955017,6971.871221,89917.28363,0,241931,241714,3552.0197,140,294.3370056,23245700,3919623080,286.0769958
1/8/2015,1563107.374,40640955017,7258.507879,107131.0038,0,286791,299907,4705.1655,147,283.348999,24866800,4032255015,294.1350098
1/9/2015,1625424.8,40640955017,7277.476935,102273.8338,0,279647,312006,4406.7795,140,290.4079895,19982500,3882766766,282.3829956
1/10/2015,1593569.197,40640955017,7178.180374,104873.9293,0,275186,369200,4363.0064,147,274.79599,18718600,3980426431,287.303009
1/11/2015,1333287.587,40640955017,7056.313476,90629.40641,0,249152,301945,3807.3814,155,265.6600037,15264300,3767535599,274.6080017
1/12/2015,1553683.606,41156980051,6930.985917,98967.23508,0,274979,275279,9050.4928,142,267.79599,18200800,3643307731,266.1459961
1/13/2015,1894594.677,43971662056,6793.523576,102308.7428,0,304794,297166,4193.9484,127,225.8609924,18880300,3673551884,267.3940125
1/14/2015,1682026.814,43971662056,6051.559972,104765.0691,0,305710,307313,3669.9375,145,178.1029968,72843904,3099004902,223.8939972
1/15/2015,1690822.172,43971662056,4998.23724,120390.4329,0,317455,339607,3433.3037,151,209.8439941,97638704,2444379076,176.8970032
1/16/2015,1576699.05,43971662056,5193.46984,104700.3205,0,269917,303684,3019.074,139,208.0970001,81773504,2880801385,209.0700073
